id	question	option1	option2	option3	option4	correctIndex	explanation	bigTopic	module	theme	subtheme	type	imageFile
prop_tax_q2_08	"In the filtering example `[subject]='subject-1'`, what does the syntax `[subject]` represent?"	The value to search for	The column header in the metadata file	The name of the feature	The output filename	2	"In QIIME 2 SQL-like syntax, column names from the metadata file are enclosed in square brackets."	16S	QIIME2	Taxonomic diversity	QIIME analysis	property	
prop_tax_q2_10	Why might you need to supply a `metadata.txt` file when generating a Taxa Barplot?	To determine the colors of the bars	To allow sorting and grouping of samples by experimental categories in the visualization	To filter the data	To name the output file	2	The metadata file allows the visualizer to group samples (e.g. by 'Treatment') rather than just listing them alphabetically.	16S	QIIME2	Taxonomic diversity	QIIME analysis	property	
mile_tax_q2_01	"You run `classify-sklearn` but get an ""invalid input"" error. You used `--i-reads table.qza`. Why did it fail?"	"The command requires the Metadata file, not the Table"	The command requires the Tree artifact	The file extension should be .qzv	The command requires the Representative Sequences file (rep-seqs.qza).	4	"The classifier works on DNA sequences. The Feature Table only contains counts and Feature IDs, not the actual ACGT strings needed for matching."	16S	QIIME2	Taxonomic diversity	QIIME analysis	milestone	
mile_tax_q2_02	"In the `filter-features` command, you set `--p-min-frequency 8`. What exactly does this filter remove?"	Any feature (ASV) appearing fewer than 8 times total	Any sample with fewer than 8 reads total	Any feature that appears in fewer than 8 samples	Any feature that is not a bacteria	1	"Min-frequency refers to the *total count* of that feature summed across all samples; if sum < 8, the feature is dropped."	16S	QIIME2	Taxonomic diversity	QIIME analysis	milestone	
mile_tax_q2_03	"You used `qiime taxa filter-table --p-include mitochondria` to remove mitochondria, but the output only contains mitochondria. Why?"	The command is broken	The database only has mitochondria	You should have used `--p-exclude` instead	You misspelled mitochondria	3	"`--p-include` *keeps* only what matches (i.e., you threw away everything *except* mitochondria). `--p-exclude` removes matches."	16S	QIIME2	Taxonomic diversity	QIIME analysis	milestone	
mile_tax_q2_04	You want to filter your data using QIIME2 to keep only samples from the 'gut'. What is the correct `--p-where` syntax? (Refer to the 'Metadata-based filtering' slide for more info)	`BodySite='gut'`	"`""[BodySite]='gut'""`"	"`""BodySite""='gut'`"	`--p-include gut`	2	"The correct syntax requires double quotes around the whole expression and square brackets around the column name: `""[BodySite]='gut'""`."	16S	QIIME2	Taxonomic diversity	QIIME analysis	milestone	
mile_tax_q2_05	"Why is it best to remove samples with low read counts AFTER filtering features (e.g., mitochondria)?"	Feature filtering does not affect sample counts	You should filter samples first	It makes the file larger	Feature filtering can leave some samples empty	4	Removing abundant features (like host DNA) can leave some samples empty. You need to clean up these empty/low-count samples before diversity analysis.	16S	QIIME2	Taxonomic diversity	QIIME analysis	milestone	
mile_tax_q2_06	"In the `taxa barplot` function, what is the purpose of `--o-visualization`?"	It specifies the name of the output file	It specifies the input table	It specifies the metadata	It runs the command	1	The `--o-` flag always designates the Output filename (destination) for the result of the command.	16S	QIIME2	Taxonomic diversity	QIIME analysis	milestone	
mile_tax_q2_07	You trained a classifier on 150bp fragments but denoised your data at 250bp. Why might classification accuracy be poor?	The database is wrong	The primers are wrong	The classifier learned shorter patterns than the data contains	The classifier is too accurate	3	"The reference sequences should match the length of your query sequences. Training on 150bp means the classifier ""learned"" shorter patterns than it is seeing in your 250bp data."	16S	QIIME2	Taxonomic diversity	QIIME analysis	milestone	
mile_tax_q2_09	"If you have a 'Taxonomy' artifact (`taxonomy.qza`) but no 'Feature Table', can you generate a Barplot?"	"Yes, if you have metadata"	"No, you need the tree"	"No, you need the Table to provide the counts"	"Yes, the taxonomy is sufficient"	3	"A list of names (Taxonomy) tells you *what* is there, but without the Table, you don't know *how much* of it is there to draw the bars."	16S	QIIME2	Taxonomic diversity	QIIME analysis	milestone	
mile_tax_q2_10	"When filtering features, why is a percentage threshold (e.g. <0.01%) often preferred over a hard count?"	It removes more data	It keeps more data	It accounts for differences in total sequencing depth	It is harder to calculate	3	A count of 10 is negligible in a dataset with 100 million reads but significant in one with 1000 reads. Percentages scale with depth.	16S	QIIME2	Taxonomic diversity	QIIME analysis	milestone	
survey_tax_q2_01	You are writing a script to automate taxonomy assignment. Which order of commands is logical?	`fit-classifier` -> `classify-sklearn` -> `extract-reads`	`extract-reads` -> `fit-classifier` -> `classify-sklearn`	`classify-sklearn` -> `fit-classifier` -> `extract-reads`	`taxa barplot` -> `classify-sklearn` -> `extract-reads`	2	"You prepare the reference (extract), train the model (fit), and then apply it to data (classify)."	16S	QIIME2	Taxonomic diversity	QIIME analysis	survey	
survey_tax_q2_02	Why do we visualize `taxonomy.qza` using `metadata tabulate` instead of just opening the file?	It aligns the sequences	It removes errors	It is faster	`.qza` files are binary archives not readable by text editors	4	"QIIME 2 artifacts are compressed data containers. You cannot ""read"" them directly without a tool or interface (like `view.qiime2.org`)."	16S	QIIME2	Taxonomic diversity	QIIME analysis	survey	
survey_tax_q2_04	How does the `--p-where` parameter in `filter-samples` enhance analysis flexibility?	It allows filtering by sequence length	It allows filtering by quality score	It allows subsetting using logical metadata expressions	It allows filtering by taxonomy	3	"This parameter brings SQL-like querying power to your data management, enabling complex experimental design comparisons."	16S	QIIME2	Taxonomic diversity	QIIME analysis	survey	
survey_tax_q2_05	What is the consequence of failing to provide the `--m-metadata-file` to `qiime taxa barplot`?	The command will fail	"The plot creates a flat list, not sorted by group"	The plot will be black and white	The taxonomy will be wrong	2	"The plot needs the metadata to know that ""Sample1"" belongs to ""Group A"". Without it, you just get a flat list of sample names."	16S	QIIME2	Taxonomic diversity	QIIME analysis	survey	
prop_div_bio_01	What is the fundamental definition of Alpha Diversity?	The variation of microbes within a single sample	The variation of microbes between different samples	The total number of sequences in a run	The phylogenetic distance between two species	1	Alpha diversity measures the local diversity (richness and evenness) contained within a single ecosystem or sample.	16S	QIIME2	Diversity metric	Diversity	property	
prop_div_bio_02	What does 'Richness' specifically measure in a microbial community?	The uniformity of species distribution	The count of distinct species present	The phylogenetic relatedness of taxa	The total number of reads sequenced	2	"Richness is a count of ""how many"" unique entities (species/ASVs) are present, disregarding their abundance."	16S	QIIME2	Diversity metric	Diversity	property	
prop_div_bio_03	Which metric quantifies how uniformly species are distributed in a community?	Observed Features	Phylogenetic Diversity	Pielou's Evenness	Jaccard Distance	3	"Evenness (e.g., Pielou's) measures whether the community is dominated by a few species or if all species have similar abundances."	16S	QIIME2	Diversity metric	Diversity	property	
prop_div_bio_04	What does the Jaccard distance metric measure?	Dissimilarity based on abundance	Dissimilarity based on phylogeny	Dissimilarity based on presence/absence	Similarity based on shared DNA	3	"Jaccard is a qualitative metric that only asks ""Do they share the same species?"", ignoring how many of each are present."	16S	QIIME2	Diversity metric	Diversity	property	
prop_div_bio_05	How does Weighted UniFrac differ from Unweighted UniFrac?	Unweighted uses phylogeny; Weighted does not	Weighted uses abundance; Unweighted does not	Weighted uses a tree; Unweighted does not	Unweighted uses counts; Weighted does not	2	"Weighted UniFrac accounts for the relative abundance of organisms, giving less weight to rare taxa compared to Unweighted UniFrac."	16S	QIIME2	Diversity metric	Diversity	property	
prop_div_bio_06	What does a Principal Coordinate Analysis (PCoA) plot represent?	A visualization of Alpha diversity	A phylogenetic tree of all species	A bar chart of the most abundant taxa	A 2D summary of sample dissimilarity	4	PCoA takes a complex distance matrix and projects it into fewer dimensions so that samples with similar compositions cluster together.	16S	QIIME2	Diversity metric	Diversity	property	
prop_div_bio_07	What is the purpose of 'Rarefaction' in diversity analysis?	To filter out chimeric sequences	To normalize sequencing depth	To assign taxonomy to sequences	To create a phylogenetic tree	2	Rarefaction randomly subsamples reads to a defined depth to ensure that differences in library size do not bias diversity estimates.	16S	QIIME2	Diversity metric	Diversity	property	
prop_div_bio_08	"In a boxplot, what does the 'Interquartile Range' (IQR) represent?"	The full range of the data	The difference between min and max	The middle 50% of the data distribution	The average value of the dataset	3	"The box in a boxplot spans the IQR, showing where the bulk of the data distribution lies, between the first and third quartiles."	16S	QIIME2	Diversity metric	Diversity	property	
prop_div_bio_09	Which Alpha diversity metric incorporates phylogenetic relationships?	Faith's Phylogenetic Diversity	Shannon's Diversity Index	Observed Features	Pielou's Evenness	1	"Faith's PD sums the branch lengths of the phylogenetic tree connecting all species in a sample, capturing evolutionary diversity."	16S	QIIME2	Diversity metric	Diversity	property	
prop_div_bio_10	What does 'Sequencing Depth' refer to?	The length of the DNA fragment	The number of species found in a sample	The number of reads designated for rarefaction	The total count of reads sequenced per sample	4	"Sequencing depth is the raw ""library size"" or total count of reads generated by the machine for a specific sample."	16S	QIIME2	Diversity metric	Diversity	property	
mile_div_bio_01	"Compare Community A (5 species, equal abundance) and Community B (5 species, dominated by one). Which statement is true?"	Community A has higher richness than Community B	Community B has higher evenness than Community A	Community A is more diverse due to higher evenness	Community B is more diverse due to dominant species	3	"While Richness is identical (5 species), Community A is ecologically more diverse because its Evenness is higher."	16S	QIIME2	Diversity metric	Diversity	milestone	
mile_div_bio_02	Why is 'Observed Features' a poor metric for distinguishing communities with different evolutionary histories?	It is too sensitive to evenness	It requires a phylogenetic tree	It cannot handle large datasets	It treats all species as equally distinct	4	"Observed Features is just a count; it sees ""E. coli vs Salmonella"" (close relatives) as equally distinct as ""E. coli vs Fungus"" (distant)."	16S	QIIME2	Diversity metric	Diversity	milestone	
mile_div_bio_03	What does it mean when the alpha rarefaction curve plateaus (flattens out)?	You have sequenced enough to capture most diversity	You have not sequenced enough to capture diversity	The sample has very low quality scores	The sample contains no bacterial DNA	1	A plateau indicates saturation: further sampling (sequencing) is just re-observing the same species over and over.	16S	QIIME2	Diversity metric	Diversity	milestone	
mile_div_bio_04	You want to determine if communities differ specifically by the presence of *rare* taxa. Which metric is best?	Weighted UniFrac	Bray-Curtis	Unweighted UniFrac	Shannon Index	3	"Unweighted UniFrac ignores abundance, so a rare species (count=1) has the same weight as a dominant one, highlighting presence/absence shifts."	16S	QIIME2	Diversity metric	Diversity	milestone	
mile_div_bio_05	"In a PCoA plot, what does 'PC1 (57%)' tell you compared to 'PC2 (12%)'?"	Axis 2 is more important for clustering	Axis 1 explains most of the variation	Both axes are equally important	The percentages represent error rates	2	"The first principal coordinate (PC1) always captures the largest possible variance in the data, making it the most critical axis for interpretation."	16S	QIIME2	Diversity metric	Diversity	milestone	
mile_div_bio_06	"If you set your Rarefaction 'Sampling Depth' too low (e.g., 100 reads), what is the risk?"	You will retain too many samples	You will increase the diversity artificially	You will improve the statistical power	You will lose biological resolution	4	"Low sampling depth standardizes the data but throws away the vast majority of your information, causing you to miss distinct features."	16S	QIIME2	Diversity metric	Diversity	milestone	
mile_div_bio_07	Why do we use a 'q-value' (FDR) instead of a raw 'p-value' in microbiome studies?	To correct for multiple comparisons	To make the results significant	To ignore the sample size	To account for phylogeny	1	"When testing thousands of bacterial species, a standard p-value of 0.05 would result in many random false positives by chance alone."	16S	QIIME2	Diversity metric	Diversity	milestone	
mile_div_bio_10	Why might 'Shannon Diversity' be low even if 'Observed Features' (Richness) is high?	Because the phylogeny is diverse	Because the sample size is small	Because the community is very even	Because the community is uneven	4	"Shannon accounts for evenness. A community with 100 species is not ""diverse"" in the Shannon sense if 99% of reads belong to just 1 species."	16S	QIIME2	Diversity metric	Diversity	milestone	
survey_div_bio_01	Community A is 50% X / 50% Y. Community B is 99% X / 1% Y. Which metric shows them as VERY different?	Unweighted UniFrac	Jaccard Index	Weighted UniFrac	Observed Features	3	"Weighted UniFrac accounts for abundance. Jaccard and Unweighted UniFrac would see them as identical (same species list), but Weighted captures the massive shift in dominance."	16S	QIIME2	Diversity metric	Diversity	survey	
survey_div_bio_02	"If your alpha rarefaction curve continues to rise steeply at max sequencing depth, what is the conclusion?"	The community is simple and deeply sequenced	The sequencing run failed completely	The sample is empty of bacteria	The community is undersampled	4	A rising curve means you are still discovering new features with every new read; the true richness of the environment is unknown and under-sampled.	16S	QIIME2	Diversity metric	Diversity	survey	
survey_div_bio_03	"In a PCoA plot, samples from 'Subject 1' cluster tightly, far away from 'Subject 2'. What does this mean?"	Subject 1 has lower alpha diversity	Subject 1 has more DNA than Subject 2	Subject 1 is distinct from Subject 2	Subject 1 has lower beta diversity than Subject 2	3	"In Beta diversity ordination, distance equals dissimilarity. Large distance between clusters means the communities are compositionally different. In a PCoA plot, there is no 'lower' or 'higher' - just more and less similar."	16S	QIIME2	Diversity metric	Diversity	survey	
survey_div_bio_04	Why is the 'q-value' (FDR) often more relevant than the raw 'p-value' in diversity analysis?	It corrects for multiple testing errors	It is easier to calculate manually	It is always smaller than the p-value	It ignores the sample size	1	"In microbiome datasets with many taxa or groups, a raw p-value yields many false positives. The q-value adjusts for this 'Multiple Testing' problem."	16S	QIIME2	Diversity metric	Diversity	survey	
survey_div_bio_05	"To measure Alpha Diversity while accounting for evolutionary relatedness, which metric must you use?"	Shannon Index	Observed Features	Faith's Phylogenetic Diversity	Pielou's Evenness	3	"Faith's PD is the only common Alpha metric that uses the phylogenetic tree to sum branch lengths, capturing evolutionary richness."	16S	QIIME2	Diversity metric	Diversity	survey	
prop_div_q2_01	Which QIIME 2 command runs a complete pipeline to generate multiple alpha and beta diversity metrics at once?	qiime diversity alpha-rarefaction	qiime diversity alpha-group-significance	qiime diversity core-metrics-phylogenetic	qiime diversity beta-group-significance	3	"`core-metrics-phylogenetic` is a pipeline that calculates Faith's PD, Shannon, Evenness, Jaccard, Bray-Curtis, and UniFrac all in one step."	16S	QIIME2	Diversity metric	QIIME application	property	
prop_div_q2_02	What critical parameter must be set in the diversity metric function `core-metrics-phylogenetic` to handle uneven sequencing depths?	#NAME?	#NAME?	#NAME?	#NAME?	1	"The `--p-sampling-depth` parameter sets the rarefaction level, ensuring all samples are subsampled to the same number of reads for fair comparison."	16S	QIIME2	Diversity metric	QIIME application	property	
prop_div_q2_03	Which specific artifact is required as input to calculate UniFrac distances but not Bray-Curtis?	The Feature Table	The Sample Metadata	The Taxonomy	The Rooted Phylogeny	4	UniFrac metrics are phylogenetic; they require a `rooted-tree.qza` to calculate the evolutionary distance between communities.	16S	QIIME2	Diversity metric	QIIME application	property	
prop_div_q2_04	What is the file format of the interactive 3D PCoA plots generated by QIIME 2?	.qza (Artifact)	.qzv (Emperor Visualization)	.txt (Text file)	.png (Image file)	2	"PCoA plots are output as Emperor visualizations (`.qzv`), which are interactive 3D plots viewable in the browser."	16S	QIIME2	Diversity metric	QIIME application	property	
prop_div_q2_05	"Which command allows you to test for statistical differences in Alpha Diversity between groups (e.g., Treatment vs Control)?"	qiime diversity beta-group-significance	qiime diversity core-metrics	qiime diversity alpha-group-significance	qiime diversity alpha-rarefaction	3	`alpha-group-significance` performs univariate statistical tests (like Kruskal-Wallis) to compare alpha diversity values across metadata categories.	16S	QIIME2	Diversity metric	QIIME application	property	
prop_div_q2_06	What is the primary visual output of the `qiime diversity alpha-rarefaction` command?	A curve showing diversity vs. sequencing depth	A 3D scatter plot	A heatmap	A boxplot	1	This command produces rarefaction curves that help you determine if you have sequenced deeply enough to capture the community's richness.	16S	QIIME2	Diversity metric	QIIME application	property	
prop_div_q2_07	"In the context of `beta-group-significance`, which statistical test is commonly used to compare distances between groups?"	T-test	Kruskal-Wallis	ANOVA	PERMANOVA	4	PERMANOVA is the standard non-parametric test used to determine if the centroids of clusters in beta diversity space are significantly different.	16S	QIIME2	Diversity metric	QIIME application	property	
prop_div_q2_08	"If you want to view a PCoA plot coloured by 'BodySite', which file must you provide to the Emperor tool?"	The Feature Table	The Sample Metadata	The Phylogenetic Tree	The Taxonomy	2	"The metadata file maps Sample IDs to categories like 'BodySite', allowing Emperor to color-code the dots in the 3D plot."	16S	QIIME2	Diversity metric	QIIME application	property	
prop_div_q2_09	"When calculating diversity metrics, what happens to samples that have fewer reads than the value defined in `--p-sampling-depth`?"	They are dropped from the analysis	They are kept as is	They are normalized	They are up-sampled	1	Any sample with a total read count lower than the rarefaction threshold is automatically discarded by the analysis pipeline.	16S	QIIME2	Diversity metric	QIIME application	property	
prop_div_q2_10	Which output artifact from `core-metrics` contains the vector of Shannon Index values for each sample?	shannon_matrix.qza	shannon_table.qza	shannon_plot.qzv	shannon_vector.qza	4	"Alpha diversity results are stored as ""vectors"" (a list of values, one per sample), such as `shannon_vector.qza`."	16S	QIIME2	Diversity metric	QIIME application	property	
mile_div_q2_01	"You inspect `demux.qzv` and see read counts from 1,000 to 100,000. If you set `--p-sampling-depth 50,000` while calculating diversity metrics, what is the outcome?"	"You keep all samples and normalize them to 50,000"	You increase the diversity of the low-count samples	"You lose all samples with fewer than 50,000 reads, discarding data"	The command fails because of the discrepancy	3	"Setting the depth too high causes massive data loss; any sample with fewer than 50,000 reads is immediately dropped from the study."	16S	QIIME2	Diversity metric	QIIME application	milestone	
mile_div_q2_02	"You try to run `core-metrics-phylogenetic` but receive an error saying ""rooted-tree.qza was not provided"". Which metrics will fail to calculate?"	Faith's PD and UniFrac	Shannon and Bray-Curtis	Jaccard and Observed Features	Evenness and Jaccard	1	Faith's PD (Alpha) and UniFrac (Beta) are the only metrics in the standard suite that strictly rely on phylogenetic branch lengths.	16S	QIIME2	Diversity metric	QIIME application	milestone	
mile_div_q2_03	"Why does `core-metrics-phylogenetic` produce multiple ""Distance Matrix"" artifacts (e.g., Jaccard, Bray-Curtis)?"	To create a heatmap visualization	Because the command failed to converge	Because they are intermediate files	To allow you to choose the best one for PCoA visualization	4	Different metrics measure biological dissimilarity differently. QIIME 2 computes them all so you can visualize the one that fits your biological question.	16S	QIIME2	Diversity metric	QIIME application	milestone	
mile_div_q2_04	"When interpreting `alpha-group-significance` results, you see a Kruskal-Wallis p-value of 0.04 and a q-value of 0.25. What should you conclude?"	The result is significant	"The result is likely a false positive, identified by p value correction"	The result is invalid	The sequencing depth was too low	2	"The q-value is the FDR-corrected p-value. A high q-value (>0.05) suggests the ""significant"" p-value might just be random chance due to many tests."	16S	QIIME2	Diversity metric	QIIME application	milestone	
mile_div_q2_05	"In an Emperor PCoA plot, your samples form two clusters. You toggle 'Color by' to 'AntibioticUsage' and the clusters become distinctly Red vs Blue. What does this suggest?"	Antibiotic usage is a strong driver of community composition	Antibiotic usage has no effect on beta diversity	Antibiotic usage changes alpha diversity only	The plot is displaying a calculation error	1	Perfect separation of colors confirms that the metadata variable (Antibiotics) correlates strongly with the beta diversity separation (PC1/PC2).	16S	QIIME2	Diversity metric	QIIME application	milestone	
mile_div_q2_06	"If you want to create a Rarefaction Curve, why do you specify `--p-max-depth` instead of a single sampling depth?"	To filter the table based on max frequency	"To set the upper limit, allowing QIIME to compute steps up to that point"	To limit the file size of the output	To remove outliers from the calculation	2	The curve needs multiple points. QIIME 2 automatically calculates diversity at 10 steps between 1 and your chosen max depth to draw the line.	16S	QIIME2	Diversity metric	QIIME application	milestone	
mile_div_q2_07	"You receive a ""Memory Error"" when viewing a large Emperor plot. What is a likely cause and solution?"	The metadata is missing; add a file	The colors are wrong; change the map	The dataset is too large; subsample the data	The tree is unrooted; root the tree	3	"Emperor plots render thousands of data points in the browser. Massive datasets can exhaust your browser's RAM, requiring subsampling."	16S	QIIME2	Diversity metric	QIIME application	milestone	
mile_div_q2_08	Why is the `rooted-tree.qza` required for `core-metrics` even if you only care about Bray-Curtis (non-phylogenetic)?	It is required for rarefaction steps	It isn't required; you can omit this input if unnecessary	It allows for better coloring of plots	It is used for the PCoA calculation	2	"If you don't provide the tree, the command simply skips the phylogenetic metrics (Faith's/UniFrac) and calculates the others."	16S	QIIME2	Diversity metric	QIIME application	milestone	
mile_div_q2_09	Your PERMANOVA test (`beta-group-significance`) returns a pseudo-F statistic of 45.0 and a p-value of 0.001. How do you interpret the F-statistic?	It is the number of samples in the test	It is the probability of a false positive	It indicates a large effect size with strong separation	It is the diversity score of the group	3	"The p-value tells you ""if"" it is different; the F-statistic tells you ""how much"". High F implies strong separation between groups."	16S	QIIME2	Diversity metric	QIIME application	milestone	
mile_div_q2_10	You want to compare Alpha Diversity between 'Male' and 'Female' using the metadata column `Sex`. What command do you run?	`qiime diversity beta-group-significance --m-column Sex`	`qiime diversity alpha-group-significance --m-metadata-column Sex`	`qiime diversity core-metrics --p-sex male`	`qiime taxa barplot --m-metadata-column Sex`	2	You must specify the metadata file and the specific column (`Sex`) you want to test against the diversity vector.	16S	QIIME2	Diversity metric	QIIME application	milestone	
survey_div_q2_01	"In QIIME2, why is the `core-metrics-phylogenetic` pipeline preferred over running `alpha`, `beta`, and `pcoa` commands individually?"	It ensures all metrics use the exact same rarefied table for consistency	It is more accurate than running them separately	It allows for different depths per metric	It uses a better tree for calculation	1	Running one pipeline guarantees that every single metric (Alpha and Beta) is calculated from the exact same randomly subsampled dataset.	16S	QIIME2	Diversity metric	QIIME application	survey	
survey_div_q2_02	"If the rarefaction curve for 'Group A' allow you to plot a higher max depth than for 'Group B', what does this imply?"	Group A is more diverse than Group B	Group B is contaminated with host DNA	The rarefaction calculation failed	Group A was sequenced more deeply than Group B	4	"The x-axis represents sequencing depth. If Group A's line goes further to the right, those samples simply had more reads available."	16S	QIIME2	Diversity metric	QIIME application	survey	
survey_div_q2_03	You are advising a student who wants to exclude samples with < 1000 reads *before* diversity analysis. How do you do this in QIIME 2?	Use `qiime feature-table filter-samples` with `--p-min-frequency 1000`	Use `core-metrics` with `--p-sampling-depth 1000`	Use `taxa filter-table` to remove low counts	Delete the samples manually from the folder	1	"While `core-metrics` drops low-read samples automatically, explicitly filtering the table first is a cleaner way to create a robust dataset for analysis."	16S	QIIME2	Diversity metric	QIIME application	survey	
survey_div_q2_05	"Why is it important to use a ""Sample Metadata"" file when running `alpha-group-significance`?"	To set the colors of the boxplots	The command uses the metadata groups to perform the statistical test	To name the output visualization	To filter the table before testing	2	The command cannot guess your experimental design. The metadata file tells it which samples belong to which group for statistical comparison.	16S	QIIME2	Diversity metric	QIIME application	survey	
conf_01	I am confident in my ability to explain the Illumina sequencing workflow.	-	-	-	-	-	-	16S	QIIME2	NA	NA	confidence	
conf_02	I am confident in my ability to run QIIME 2 commands for importing and denoising.	-	-	-	-	-	-	16S	QIIME2	NA	NA	confidence	
conf_03	I am confident in my ability to interpret taxonomic barplots and diversity plots.	-	-	-	-	-	-	16S	QIIME2	NA	NA	confidence	
core_unix_01	Which character sequence represents the 'parent directory' (one level up) in a file path?	`/`	`~`	`..`	`.`	3	"In UNIX navigation, `..` always refers to the directory immediately above your current location, while `.` refers to the current directory."	16S	QIIME2	Core	UNIX	core	
core_unix_02	What is the defining feature of an 'Absolute Path' compared to a 'Relative Path'?	It starts with a forward slash `/` (root directory)	It starts with the current directory	It is shorter to type	It contains no spaces	1	"An absolute path (e.g., `/home/user/data`) defines the full location from the system's root directory `/`, whereas a relative path starts from where you are currently standing."	16S	QIIME2	Core	UNIX	core	
core_unix_03	You are typing a long file name. Which key can you press to auto-complete the name after typing the first few letters?	Enter	Tab	Space	Ctrl+C	2	Tab completion is a critical shell shortcut that saves time and prevents typos by automatically filling in file paths that match what you've typed.	16S	QIIME2	Core	UNIX	core	
core_unix_04	You want to verify which directory you are currently working in. Which command prints the 'Present Working Directory'?	`getwd`	`ls`	`cd`	`pwd`	4	`pwd` (Print Working Directory) outputs the full absolute path of your current location in the file system.	16S	QIIME2	Core	UNIX	core	
core_unix_05	"What is the effect of putting a space in a filename (e.g., `my data.fastq`) without quoting it?"	The shell interprets it as two separate arguments (`my` and `data.fastq`)	It works perfectly fine	It deletes the file	It creates a directory	1	"Spaces are delimiters in UNIX. To use a file with a space, you must escape it (`my\ data.fastq`) or quote it (`""my data.fastq""`)."	16S	QIIME2	Core	UNIX	core	
core_unix_06	You see a file path listed as `~`. What does the tilde `~` symbol represent?	The root directory	The user's home directory	The temporary directory	The trash directory	2	"The tilde `~` is a shorthand alias for the current user's home folder (e.g., `/home/student/`)."	16S	QIIME2	Core	UNIX	core	
core_unix_07	Which command is used to list the contents (files and folders) of the current directory?	`show`	`ls`	`open`	`view`	2	`ls` (LiSt) is the standard command to display the contents of a directory.	16S	QIIME2	Core	UNIX	core	
core_unix_08	You typed a complex command incorrectly. How can you quickly retrieve the previous command from your history to edit it?	Press the Up Arrow key	Press Ctrl+Z	Press the Down Arrow key	Type `history -1`	1	"The Up Arrow key cycles backward through your command history, allowing you to recall and fix mistakes without retyping the whole line."	16S	QIIME2	Core	UNIX	core	
core_unix_09	What does the backslash `\` character do when placed at the very end of a command line?	It executes the command immediately	It deletes the previous word	"It acts as a line continuation, telling the shell the command continues on the next line"	It cancels the command	3	"The backslash escapes the ""Enter"" key (newline), allowing you to break a long command into multiple readable lines."	16S	QIIME2	Core	UNIX	core	
core_unix_10	"You try to run `QIIME` but get ""command not found"". You know it is installed. What is the likely cause of the error?"	You need to restart the computer	"UNIX is case-sensitive, and the command is lowercase `qiime`"	You are in the wrong folder	You need to type `run QIIME`	2	"Unlike Windows, UNIX commands are strictly case-sensitive. `QIIME` is not the same as `qiime`."	16S	QIIME2	Core	UNIX	core	
core_unix_11	"What is the wildcard character used to select ""all files"" matching a pattern (e.g., all files ending in .fastq)?"	`?`	`#`	`*`	`@`	3	"The asterisk `*` is the wildcard that matches any string of characters, so `*.fastq` selects every file ending with that extension."	16S	QIIME2	Core	UNIX	core	
core_unix_12	You want to organize your files. Which command creates a new directory (folder)?	`newdir`	`mkdir`	`touch`	`rm`	2	`mkdir` (MaKe DIRectory) is the command used to generate new folder structures in the file system.	16S	QIIME2	Core	UNIX	core	
core_unix_14	"If you run a command and receive ""File not found"", but you can see the input file in your file browser, what is the most common mistake?"	The file is locked	The file path to the input file is incorrect	The file is corrupt	The internet is down	2	"Commands look in the `pwd` (current directory). If the file is elsewhere, you must provide the path or `cd` to that directory first."	16S	QIIME2	Core	UNIX	core	
core_unix_15	"How do you navigate ""down"" into a subfolder named `data`?"	`cd ..`	`ls data`	`go data`	`cd data`	4	`cd` (Change Directory) followed by the folder name moves your context into that folder.	16S	QIIME2	Core	UNIX	core	
core_unix_16	What visual cue does the terminal provide to indicate a command is still running and has not crashed?	"The prompt `$` or `>` does not reappear, and the cursor may blink"	The screen turns blue	"It prints ""Done"" immediately"	It makes a beeping sound	1	"As long as the command prompt (usually ending in `$`) hasn't returned, the foreground process is still active and working."	16S	QIIME2	Core	UNIX	core	
core_unix_18	What is the general difference between a flag with one dash `-i` and two dashes `--input`?	"One dash is for outputs, two for inputs"	"One dash is for short-form (single letter), two dashes are for long-form (full word)"	"One dash is optional, two are mandatory"	There is no difference	2	"By convention, single-letter aliases use `-` (e.g., `-h`), while full-word options use `--` (e.g., `--help`)."	16S	QIIME2	Core	UNIX	core	
core_unix_19	You want to read the help manual for the `mkdir` command. What would you type?	`mkdir --help` or `man mkdir`	`help me mkdir`	`? mkdir`	`info mkdir`	1	"Most UNIX tools support `--help`, and `man` (manual) opens the full system documentation for standard commands."	16S	QIIME2	Core	UNIX	core	
core_unix_20	Why does QIIME 2 usually require you to specify `--o-output-dir` or `--o-table` filenames?	To allow you to name your result files something meaningful	Because it is not possible for qiime to invent names	To overwrite your raw data	To delete the inputs	1	"Unlike graphical apps that might auto-save, UNIX tools require you to explicitly define where results go and what they should be called."	16S	QIIME2	Core	UNIX	core	
mis_01	Freezer failure! Samples thawed. (-$100)						Always check the backup generator!	16S	QIIME2			mishap	
mis_02	Grant received! (+$100)						Congratulations on a successful application!	16S	QIIME2			mishap	
